x,y,boh,name
4.6,298.7,86,faraoc
4.6,342,27,gar2in
4.6,392.8,11,cupasy
4.6,405.8,11,mourmy
4.6,443.5,74,faraoc
4.6,457.8,286,sapiau
4.6,472.3,21,cappfr
4.6,478.2,36,hybapr
4.61,422.13,11,dio2ar
4.62,220.25,32,herrpu
4.63,127.2,20,hybapr
4.64,244.01,15,micone
4.69,305.76,15,gar2in
4.69,458.14,10,calolo
4.7,16.8,35,acaldi
4.7,29.8,140,dendar
4.7,38.7,71,cordla
4.7,44.7,97,faraoc
4.7,47.8,49,faraoc
4.7,48.8,42,des2pa
4.7,86.8,55,faraoc
4.7,91.6,425,brosal
4.7,121.9,29,hybapr
4.7,126.6,30,unonpi
4.7,129.6,17,hybapr
4.7,141,58,swars1
4.7,142.9,34,cassel
4.7,167.3,24,faraoc
4.7,203.9,86,faraoc
4.7,250.7,17,guargu
4.7,307.9,37,brosal
4.7,308.77,12,laciag
4.7,332.9,92,guatdu
4.7,353.8,72,cordla
4.7,453,31,hirttr
4.7,465.9,19,hybapr
4.7,477.8,53,faraoc
4.7,487.5,12,laciag
4.72,221.98,29,ingath
4.72,316.03,13,gar2ma
4.76,453.18,12,rinosy
4.76,465.33,17,chr1ec
4.77,242.3,35,ingath
4.78,110.52,11,calolo
4.78,115.72,20,pourbi
4.78,340.31,16,des2pa
4.79,294.68,18,tet2pa
4.79,305.83,12,tet2pa
4.8,16.7,409,termam
4.8,17.2,21,acaldi
4.8,22.9,17,tri2tu
4.8,29.8,70,ingapu
4.8,32.9,112,ingaqu
4.8,151.8,19,mourmy
4.8,177.1,110,cassel
4.8,181.2,20,gar2in
4.8,182,54,gar2in
4.8,202.9,23,eugeoe
4.8,225.9,60,ingama
4.8,227.7,27,chr2ar
4.8,236.2,23,hybapr
4.8,242.1,-1,alsebl
4.8,262,18,gar2in
