x,y,name
343.6,27.0,hassfl
346.2,19.5,cordbi
343.9,17.1,gustsu
347.1,14.9,cordbi
349.7,15.0,virose
343.6,8.3,virosu
351.4,8.9,virosu
343.8,2.2,turpoc
348.0,1.6,quaras
352.4,3.2,cordla
339.0,2.0,cespma
330.8,1.3,guargu
328.3,10.4,tab2ar
337.5,14.7,gustsu
339.1,12.1,guargu
320.5,25.4,coccco
333.2,33.1,ocotwh
333.1,36.1,ingama
336.9,29.5,virose
337.0,40.8,beilpe
338.8,58.4,gustsu
333.4,54.0,virosu
322.5,58.0,huracr
324.5,56.6,quaras
324.3,64.9,alchco
335.4,64.0,alsebl
339.1,63.8,dendar
339.5,68.9,tab2ar
321.1,77.2,alsebl
326.7,80.6,cecrin
336.9,83.1,guatdu
338.8,82.1,gustsu
337.4,85.8,pla1pi
335.9,90.1,swars1
327.0,89.8,simaam
321.9,95.1,quaras
329.1,97.7,jac1co
336.5,107.3,alsebl
325.3,102.0,lindla
324.1,127.1,tri2tu
337.6,130.0,alsebl
333.6,140.1,pri2co
326.0,141.9,heisco
322.5,147.5,heisco
336.4,156.6,heisco
324.8,166.0,dendar
321.9,171.0,loncla
320.6,176.5,pri2co
325.3,177.5,tri2tu
327.7,181.4,gustsu
323.5,183.1,tri2tu
326.3,188.1,brosal
323.2,197.0,pri2co
334.5,198.5,pri2co
338.4,191.2,poutst
320.1,204.5,gustsu
324.9,220.9,tri2tu
321.9,224.0,ingaco
331.4,218.8,tri2tu
333.2,230.2,simaam
326.4,236.4,jac1co
322.1,238.1,tab2ar
335.1,244.3,tab2ar
336.3,244.8,tachve
324.1,249.2,poutre
327.6,259.2,pri2co
323.2,270.9,gustsu
327.4,276.5,tri2tu
326.8,278.1,anacex
332.1,277.5,swars1
323.1,294.8,ingasa
327.9,299.7,poutre
325.1,301.0,tratas
328.5,302.1,hyeral
320.3,300.5,tratas
339.7,300.6,cordbi
337.6,306.9,lindla
336.7,315.6,luehse
329.6,319.5,hirttr
330.6,322.9,casear
325.1,325.8,alsebl
326.2,338.6,lafopu
331.9,345.1,tri2tu
336.1,354.5,virose
333.4,370.5,diptpa
328.5,374.5,beilpe
321.6,378.4,tri2tu
329.9,383.5,virose
336.4,380.7,apeime
337.0,380.7,lafopu
334.8,388.5,hirttr
325.5,393.3,virose
338.9,405.5,ormoma
337.2,408.2,tri2tu
329.4,424.1,hirttr
339.9,428.4,quaras
328.5,436.1,tri2tu
334.1,436.8,tri2tu
330.3,442.0,alsebl
339.7,442.4,turpoc
339.2,448.0,guargu
328.5,451.2,virosu
326.2,463.7,ocotwh
339.2,464.0,apeime
340.6,467.5,coccco
336.5,472.8,virose
334.6,469.8,tet2pa
332.0,470.8,pla2el
329.9,478.5,hirttr
338.5,477.1,guarsp
335.4,481.8,cecrin
326.4,487.8,quaras
322.5,492.4,quaras
320.7,499.8,apeime
335.4,494.6,maytsc
338.5,495.3,hirttr
335.5,489.4,calolo
318.2,494.9,guargu
309.6,499.7,tri2tu
310.6,494.5,quaras
309.2,492.0,tri2tu
301.4,474.3,tri2pa
304.6,452.3,quaras
307.5,448.4,virose
304.7,440.3,hirttr
310.5,439.4,tri2tu
306.2,434.4,guapst
308.9,426.0,casear
300.5,421.1,cecrin
303.8,414.5,cordbi
307.0,394.7,poutst
305.2,391.3,apeime
300.5,393.3,zantp1
315.8,388.0,entesc
305.2,382.2,andiin
318.9,368.7,laetpr
312.6,350.4,alsebl
303.7,355.2,tet2pa
303.5,350.2,jac1co
313.5,335.2,tab2ar
317.1,337.8,dendar
302.8,324.8,lacmpa
309.4,316.0,annosp
316.1,313.9,casear
305.4,305.4,apeime
303.0,306.2,alchco
309.8,299.8,micoar
315.7,296.0,calolo
311.7,289.4,tripcu
311.6,285.9,tachve
301.2,267.9,tri2tu
317.7,246.1,micoar
302.8,245.2,lindla
300.8,255.9,lacmpa
309.4,235.8,pri2co
314.0,234.6,vochfe
309.8,226.2,tet2pa
300.3,222.1,laetpr
